[ 2025-12-24 11:06:38,815 ] 20 root - INFO - Initiate the data ingestion
[ 2025-12-24 11:06:40,206 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-12-24 11:06:40,207 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-12-24 11:06:40,207 ] 75 root - INFO - Exporting train and test file path.
[ 2025-12-24 11:06:40,300 ] 84 root - INFO - Exported train and test file path.
[ 2025-12-24 11:06:40,301 ] 22 root - INFO - Data Initiation Completed
[ 2025-12-24 11:06:40,337 ] 26 root - INFO - Initiate the data Validation
[ 2025-12-24 11:06:40,414 ] 32 root - INFO - Required number of columns:2
[ 2025-12-24 11:06:40,414 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-24 11:06:40,414 ] 32 root - INFO - Required number of columns:2
[ 2025-12-24 11:06:40,414 ] 33 root - INFO - Data frame has columns:31
[ 2025-12-24 11:06:40,601 ] 28 root - INFO - data Validation Completed
[ 2025-12-24 11:06:40,601 ] 31 root - INFO - data Transformation started
[ 2025-12-24 11:06:40,601 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-12-24 11:06:40,601 ] 65 root - INFO - Starting data transformation
[ 2025-12-24 11:06:40,639 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-12-24 11:06:40,639 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-12-24 11:06:40,672 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-24 11:06:40,676 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-24 11:06:40,676 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2025-12-24 11:06:40,678 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2025-12-24 11:06:40,679 ] 35 root - INFO - data Transformation completed
[ 2025-12-24 11:06:40,679 ] 37 root - INFO - Model Training sstared
